image,label_type,label_id,nuclei_channel,nuclei_channel_label,mean_intensity,max_intensity,variance_intensity,summed_intensity,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,equivalent_diameter,centroid_row,centroid_col,mean_intensity_ch0,max_intensity_ch0,variance_intensity_ch0,summed_intensity_ch0,mean_intensity_ch1,max_intensity_ch1,variance_intensity_ch1,summed_intensity_ch1,mean_intensity_ch2,max_intensity_ch2,variance_intensity_ch2,summed_intensity_ch2
cells.ome.tif,Cells,1,0,ch0,45.163170163170165,103.0,1229.9603218847974,96875.0,2145.0,201.88225099390854,0.7029613246563022,0.9008819823603528,65.93319205772403,46.893537329287405,52.25991602994521,260.6027972027972,497.24335664335666,45.163170163170165,103.0,1229.9603218847974,96875.0,45.163170163170165,103.0,1229.9603218847974,96875.0,45.163170163170165,103.0,1229.9603218847974,96875.0
cells.ome.tif,Cells,2,0,ch0,23.527405602923263,100.0,1111.1911896556242,115896.0,4926.0,293.46298679765215,0.7696288202003878,0.9192013435342414,101.66953183366115,64.91513853634928,79.19582058016327,219.07389362565976,309.630125862769,23.527405602923263,100.0,1111.1911896556242,115896.0,23.527405602923263,100.0,1111.1911896556242,115896.0,23.527405602923263,100.0,1111.1911896556242,115896.0
cells.ome.tif,Cells,3,0,ch0,20.162743388549842,83.0,664.8924335084023,69380.0,3441.0,244.88834764831844,0.7240700190043823,0.9399071291996722,81.34719277399219,56.10731236175253,66.19076426083699,204.35135135135135,383.4763150247021,20.162743388549842,83.0,664.8924335084023,69380.0,20.162743388549842,83.0,664.8924335084023,69380.0,20.162743388549842,83.0,664.8924335084023,69380.0
cells.ome.tif,Cells,4,0,ch0,30.176673369721346,94.0,1025.0285394649875,105045.0,3481.0,249.1198410471445,0.7912701081980699,0.9131689401888772,87.9902597837736,53.803120305367536,66.57437085863525,465.2430336110313,113.38638322321172,30.176673369721346,94.0,1025.0285394649875,105045.0,30.176673369721346,94.0,1025.0285394649875,105045.0,30.176673369721346,94.0,1025.0285394649875,105045.0
cells.ome.tif,Cells,5,0,ch0,24.90532544378698,76.0,755.1678118763349,67344.0,2704.0,238.0071426749364,0.9123866961768594,0.9172320217096337,94.88142549440123,38.83775220940417,58.67571668896666,324.2126479289941,43.84726331360947,24.90532544378698,76.0,755.1678118763349,67344.0,24.90532544378698,76.0,755.1678118763349,67344.0,24.90532544378698,76.0,755.1678118763349,67344.0
cells.ome.tif,Cells,6,0,ch0,23.572654016116456,92.0,929.6536114381324,90684.0,3847.0,244.79393923933998,0.5797312815229101,0.9646439317953862,78.17816951764614,63.700177049202985,69.98680253159284,485.2882765791526,304.5799324148687,23.572654016116456,92.0,929.6536114381324,90684.0,23.572654016116456,92.0,929.6536114381324,90684.0,23.572654016116456,92.0,929.6536114381324,90684.0
cells.ome.tif,Cells,7,0,ch0,29.463026521060844,106.0,1328.6024551147411,94429.0,3205.0,220.72287142747453,0.5170273625105943,0.9633303276224827,69.60032189083054,59.57570888078505,63.88061318487947,276.9716068642746,437.5291731669267,29.463026521060844,106.0,1328.6024551147411,94429.0,29.463026521060844,106.0,1328.6024551147411,94429.0,29.463026521060844,106.0,1328.6024551147411,94429.0
cells.ome.tif,Cells,8,0,ch0,14.203310795057122,73.0,361.37344672107963,60918.0,4289.0,264.5929291125633,0.7731057194986739,0.9614436225061646,93.42303497029664,59.256099566398895,73.89806768359449,58.48496152949406,334.0184192119375,14.203310795057122,73.0,361.37344672107963,60918.0,14.203310795057122,73.0,361.37344672107963,60918.0,14.203310795057122,73.0,361.37344672107963,60918.0
cells.ome.tif,Cells,9,0,ch0,15.658413571756075,78.0,590.7778624992932,68302.0,4362.0,255.22034611053286,0.2894768092380738,0.9828751689950428,77.22291091191963,73.91661410659718,74.52429734076517,413.5298028427327,64.89752407152682,15.658413571756075,78.0,590.7778624992932,68302.0,15.658413571756075,78.0,590.7778624992932,68302.0,15.658413571756075,78.0,590.7778624992932,68302.0
cells.ome.tif,Cells,10,0,ch0,38.666666666666664,89.0,1082.1010101010102,95700.0,2475.0,224.10764773832474,0.8542996894852477,0.8767268862911796,82.15858092223617,42.70444979660718,56.13615477764333,439.1507070707071,143.58747474747474,38.666666666666664,89.0,1082.1010101010102,95700.0,38.666666666666664,89.0,1082.1010101010102,95700.0,38.666666666666664,89.0,1082.1010101010102,95700.0
cells.ome.tif,Cells,11,0,ch0,17.735162226325507,68.0,490.10342993279625,67234.0,3791.0,251.22034611053286,0.7182464252669006,0.94775,85.66625152185802,59.60561947873614,69.47554328028679,196.4558164072804,438.52651015563174,17.735162226325507,68.0,490.10342993279625,67234.0,17.735162226325507,68.0,490.10342993279625,67234.0,17.735162226325507,68.0,490.10342993279625,67234.0
cells.ome.tif,Cells,12,0,ch0,27.599897802759326,82.0,727.1097189471438,54013.0,1957.0,201.23759005323592,0.827196995971346,0.8628747795414462,71.06804479307742,39.93398934293088,49.91722938071296,104.28666326009198,356.5682166581502,27.599897802759326,82.0,727.1097189471438,54013.0,27.599897802759326,82.0,727.1097189471438,54013.0,27.599897802759326,82.0,727.1097189471438,54013.0
cells.ome.tif,Cells,13,0,ch0,22.782953943885655,90.0,937.0487089025903,86074.0,3778.0,262.5218613006978,0.84606305482302,0.9243944213359432,97.78632633966757,52.12821191272226,69.35631910654894,249.08443620963473,129.65590259396507,22.782953943885655,90.0,937.0487089025903,86074.0,22.782953943885655,90.0,937.0487089025903,86074.0,22.782953943885655,90.0,937.0487089025903,86074.0
cells.ome.tif,Cells,14,0,ch0,35.974508375819376,100.0,1339.7036473366013,98786.0,2746.0,212.0071426749364,0.6298208708038242,0.9314789687924017,68.51902403580408,53.221495094638975,59.12965237376892,223.38965768390386,36.32483612527312,35.974508375819376,100.0,1339.7036473366013,98786.0,35.974508375819376,100.0,1339.7036473366013,98786.0,35.974508375819376,100.0,1339.7036473366013,98786.0
cells.ome.tif,Cells,15,0,ch0,19.887419082465524,82.0,655.224589820711,70660.0,3553.0,234.30865786510142,0.5005130583132651,0.9626117583310756,72.83381692973434,63.05434652997748,67.25934955412544,430.61328454826906,206.83309878975513,19.887419082465524,82.0,655.224589820711,70660.0,19.887419082465524,82.0,655.224589820711,70660.0,19.887419082465524,82.0,655.224589820711,70660.0
cells.ome.tif,Cells,16,0,ch0,31.44782405240992,92.0,1070.1602397668898,67204.0,2137.0,202.79393923933995,0.7659362601197192,0.917167381974249,69.0635790095409,44.40211553959084,52.162370604670976,283.42817033224145,218.77117454375292,31.44782405240992,92.0,1070.1602397668898,67204.0,31.44782405240992,92.0,1070.1602397668898,67204.0,31.44782405240992,92.0,1070.1602397668898,67204.0
cells.ome.tif,Cells,17,0,ch0,22.671011058451818,83.0,693.5114345227844,57403.0,2532.0,209.82337649086284,0.8070900319977015,0.9346622369878184,75.11254060321576,44.34857619656927,56.77889156429026,137.8068720379147,334.56990521327015,22.671011058451818,83.0,693.5114345227844,57403.0,22.671011058451818,83.0,693.5114345227844,57403.0,22.671011058451818,83.0,693.5114345227844,57403.0
